Iteration;w_s;Non Food;Non Perishable A;Non Perishable B;Non Perishable C;Non Perishable D;Perishable A;Perishable B;Medoid 0;Medoid 1;Medoid 2;Medoid 3;Cluster Size 0;Cluster Size 1;Cluster Size 2;Cluster Size 3;IEM;optimization;clustering;Repetition
0;0.11408519359808582;0.1486707537952537;0.1253000809216158;0.11326817393468144;0.088067694135561;0.13426592896451614;0.09096390915257356;0.18537826549771247;536870928;46785370338;29868298626;1073885184;2;324;267;110;;;;random_0
1;0.1514069863921305;0.2096081637905556;0.03972358929129002;0.031318860608553815;0.18232366637332667;0.2115921929577248;0.0016421259295834915;0.17238441465683524;1679958032;63355168866;29868298626;1140989952;97;314;196;96;-7.725279931322245;0.09375;0.875;random_0
2;0.19000060550784129;0.1725435531288947;0.005486085000411931;0.07929416674866725;0.1603637367026182;0.2688223730625197;0.007284157577610326;0.11620532227143672;1610756224;63355168866;29339627778;1073885184;127;311;177;88;-7.78129034880542;0.09375;0.53125;random_0
3;0.19000060550784129;0.1725435531288947;0.005486085000411931;0.07929416674866725;0.1603637367026182;0.2688223730625197;0.007284157577610326;0.11620532227143672;1610756224;63355168866;29339627778;1073885184;127;311;177;88;-7.819084098145026;0.09375;0.265625;random_0
4;0.19000060550784129;0.1725435531288947;0.005486085000411931;0.07929416674866725;0.1603637367026182;0.2688223730625197;0.007284157577610326;0.11620532227143672;1610756224;63355168866;29339627778;1073885184;127;311;177;88;-7.819084098145026;0.09375;;random_0
0;0.2230943142573634;0.08876925228049985;0.18328959226317254;0.12244267836512653;0.13150607973995734;0.21428175474110944;0.016445318155662837;0.020171010197108017;1610756224;44099049474;18325045248;3221364768;97;242;143;221;;;;random_1
1;0.2380546354771868;0.11173900989189237;0.02610578762759009;0.2538020055267487;0.04185444016434565;0.24887557479368705;0.006384928033296779;0.07318361848525258;18794811520;44099049474;1073885184;3221364768;179;276;28;220;-7.813385360406505;0.109375;0.765625;random_1
2;0.2380546354771868;0.11173900989189237;0.02610578762759009;0.2538020055267487;0.04185444016434565;0.24887557479368705;0.006384928033296779;0.07318361848525258;18794811520;44099049474;1073885184;3221364768;179;276;28;220;-7.85532641036434;0.09375;0.265625;random_1
3;0.2380546354771868;0.11173900989189237;0.02610578762759009;0.2538020055267487;0.04185444016434565;0.24887557479368705;0.006384928033296779;0.07318361848525258;18794811520;44099049474;1073885184;3221364768;179;276;28;220;-7.85532641036434;0.09375;;random_1
0;0.10822950194210952;0.14099952599637086;0.021833392552064484;0.2356914372988185;0.19284980200941512;0.09032859058704758;0.17809393668812418;0.031973812926049804;538968192;63355168866;1074929664;21019898144;19;433;74;177;;;;random_10
1;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1610756224;63355168866;1140989952;21019898144;77;394;98;134;-7.783295553133682;0.09375;0.71875;random_10
2;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1610756224;63355168866;1140989952;21019898144;77;394;98;134;-7.851844073194107;0.09375;0.328125;random_10
3;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1610756224;63355168866;1140989952;21019898144;77;394;98;134;-7.851844073194107;0.109375;;random_10
0;0.15108994594523184;0.2437853400311279;0.0835712452060656;0.17508396875411358;0.03457496843894646;0.1879164807572236;0.07592085597706041;0.04805719489023067;538968192;64171157666;29062471776;1073885184;29;332;241;101;;;;random_11
1;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671814;0.1402530047885955;0.00634802932882376;0.033661377652713445;1610756224;64171157666;29062471776;1073885184;86;329;221;67;-7.768061795091634;0.09375;0.609375;random_11
2;0.3114339044952291;0.12936049714476824;0.0442786732718962;0.3664860621227759;0.059610964092349575;0.011724357455235736;0.07404360860745786;0.0030619328102876077;1610756224;64171157666;29062471776;1140989952;113;295;209;86;-7.80330235862302;0.109375;0.546875;random_11
3;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1610756224;64171157666;29062471776;1140989952;119;280;189;115;-7.847324353448423;0.109375;0.265625;random_11
4;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1610756224;64171157666;29062471776;1140989952;119;280;189;115;-7.866813842247842;0.09375;;random_11
0;0.1435609441755931;0.004921730015495125;0.20289989563132568;0.001149313093622308;0.16590935378399868;0.06608993129700884;0.17995365780355352;0.2355151741994028;8589934658;61821032641;18792722816;11811291234;21;260;206;216;;;;random_12
1;0.2637615910247252;0.22108156615562344;0.07996246347857065;0.0006142711912616751;0.10703511486434186;0.07485697157080654;0.0392482085420437;0.2134398131726271;8589934658;61811738816;18792722816;11878408290;13;257;201;232;-7.727573201950233;0.09375;0.609375;random_12
2;0.3188267260209409;0.3125167311315185;0.01233475156003031;0.05729383544931351;0.061270584210080435;0.16402134228503878;0.02036627212274369;0.053369757220333935;9730924546;61755500610;18794811520;11878408290;110;237;156;200;-7.796428303273869;0.09375;0.515625;random_12
3;0.2964359458958123;0.2226315281946228;0.037580570346368206;0.06022250718964245;0.0004755244368310087;0.25811395670503035;0.00702758194325551;0.11751238528843733;9730924546;61755500610;18794811520;11878408290;109;215;147;232;-7.863532569251909;0.09375;0.265625;random_12
4;0.2964359458958123;0.2226315281946228;0.037580570346368206;0.06022250718964245;0.0004755244368310087;0.25811395670503035;0.00702758194325551;0.11751238528843733;9730924546;61755500610;18794811520;11878408290;109;215;147;232;-7.857508558264197;0.09375;;random_12
0;0.05579214832119081;0.12922472055354275;0.1327874324500045;0.12834878286636378;0.05003435679203865;0.21368941678985756;0.10028450329915843;0.18983863892784364;536870928;11878408290;61207619586;3489792000;1;348;353;1;;;;random_13
1;0.2195999820004423;0.022806583505078703;0.03585359599086058;0.2981148133609797;0.00563704254673135;0.3399302794696649;0.07606603724649565;0.001991665879746793;538968192;29528105184;61830740226;3556777984;42;260;278;123;-7.682535188037032;0.109375;0.703125;random_13
2;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602431;0.12669086097893295;1073885184;11878277216;44099049474;3556777984;153;250;187;113;-7.818091652987503;0.09375;0.796875;random_13
3;0.03379901133745165;0.009229863395055908;0.1021697361520277;0.21617204921416489;0.2232336833480448;0.3535120839966061;0.034289155376229945;0.02759441718041919;1073885184;11878277216;9730924546;3556777984;185;250;153;115;-7.889383518706385;0.109375;0.484375;random_13
4;0.03379901133745165;0.009229863395055908;0.1021697361520277;0.21617204921416489;0.2232336833480448;0.3535120839966061;0.034289155376229945;0.02759441718041919;1073885184;11878277216;9730924546;3556777984;185;250;153;115;-7.919627862354733;0.09375;0.25;random_13
5;0.03379901133745165;0.009229863395055908;0.1021697361520277;0.21617204921416489;0.2232336833480448;0.3535120839966061;0.034289155376229945;0.02759441718041919;1073885184;11878277216;9730924546;3556777984;185;250;153;115;-7.919627862354733;0.109375;;random_13
0;0.13339007919825738;0.05672096348107715;0.15519052451155035;0.07561329411816448;0.16802560045992326;0.11084822274612922;0.16814615371747196;0.13206516176742628;536870928;11811291234;17179885568;64171157666;2;243;2;456;;;;random_14
1;0.2632743298685531;0.13199295058936364;0.1975488734005946;0.01219329925254966;0.20248848532710556;0.10805174445293153;0.014780451765790969;0.06966986534311093;1610756224;11878408290;18320855296;64171157666;110;169;100;324;-7.661116057250094;0.125;1.078125;random_14
2;0.2679471359406261;0.17193277524387765;0.21016993773822407;0.027769435894291542;0.15368047257293507;0.06505913444470407;0.05186395715147595;0.0515771510138655;1610756224;11878408290;18320855296;64171157666;113;159;108;323;-7.768763729541947;0.109375;0.3125;random_14
3;0.2310014681756083;0.2856052610664145;0.04818096170409868;0.07155834578377031;0.1489056167349243;0.024893341860084312;0.01694696935742803;0.1729080353176716;1610756224;11878408290;1073885184;64171157666;133;207;51;312;-7.773194128768234;0.109375;0.53125;random_14
4;0.3188267260209409;0.3125167311315185;0.01233475156003031;0.05729383544931351;0.061270584210080435;0.16402134228503878;0.02036627212274369;0.053369757220333935;1610756224;11878408290;1073885184;61755500610;112;269;50;272;-7.8300385006991275;0.09375;0.59375;random_14
5;0.27405461043309304;0.2625184232964249;0.03610377274843042;0.10277561450237342;0.2111527887951518;0.05033564142976018;0.02772705984944432;0.03533208894532198;1610756224;11878408290;1073885184;61755500610;120;241;50;292;-7.823485747453536;0.09375;0.28125;random_14
6;0.3401271709626589;0.2973480132545519;0.0006556579235217339;0.13831523557484374;0.21877195122103665;0.0005242223128739071;0.0008825991258984506;0.0033751496246148967;1610756224;11819679778;1140989952;61755500610;114;246;65;278;-7.864366874707597;0.09375;0.578125;random_14
7;0.3100584150792658;0.07343233757558437;0.025662999591963036;0.4248499922502482;0.09572582069474;0.017684372761063768;0.01984799302375869;0.03273806902337624;1610756224;11819679778;1140989952;64235972852;130;210;107;256;-7.83261504512777;0.09375;0.515625;random_14
8;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1610756224;11819679778;1140989952;64162771904;117;218;120;248;-7.870720832326777;0.09375;0.5;random_14
9;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1610756224;11819679778;1140989952;64162771904;117;218;120;248;-7.870235762483201;0.09375;0.25;random_14
10;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1610756224;11819679778;1140989952;64162771904;117;218;120;248;-7.870235762483201;0.109375;;random_14
0;0.17360262844264218;0.12000098837955407;0.22885577736986676;0.1541506122588734;0.10145731304982096;0.14515109909943447;0.004594236487028784;0.07218734491277927;536870928;63891843296;10267787394;3556777984;2;365;210;126;;;;random_15
1;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671814;0.1402530047885955;0.00634802932882376;0.033661377652713445;1073885184;63891843296;9730924546;3556777984;109;315;198;81;-7.74242683615039;0.09375;1.15625;random_15
2;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671814;0.1402530047885955;0.00634802932882376;0.033661377652713445;1073885184;63891843296;9730924546;3556777984;109;315;198;81;-7.869297429582187;0.09375;0.28125;random_15
3;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671814;0.1402530047885955;0.00634802932882376;0.033661377652713445;1073885184;63891843296;9730924546;3556777984;109;315;198;81;-7.869297429582187;0.109375;;random_15
0;0.18380892781250868;0.08076490640063039;0.17207104938998458;0.11937999741662883;0.03771938903474669;0.08304930659236966;0.15869257578036833;0.16451384757276272;536870928;29062471776;17184325632;12348162210;2;324;54;323;;;;random_16
1;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1140989952;29062471776;18794811520;9730924546;98;215;196;194;-7.675926917912345;0.09375;1.3125;random_16
2;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.4388417852266296;0.04310337257013177;0.0074560920298811905;0.05762348469859702;0.17407544847972406;1140989952;29062471776;18794811520;9730924546;98;215;196;194;-7.915306550570282;0.109375;0.234375;random_16
